505,10,Centro do Guilherme,03158
506,10,Centro Novo do Maranhão,03174
507,10,Chapadinha,03208
508,10,Cidelândia,03257
509,10,Codó,03307
510,10,Coelho Neto,03406
511,10,Colinas,03505
512,10,Conceição do Lago-Açu,03554
513,10,Coroatá,03604
514,10,Cururupu,03703
515,10,Davinópolis,03752
516,10,Dom Pedro,03802
517,10,Duque Bacelar,03901
518,10,Esperantinópolis,04008
519,10,Estreito,04057
520,10,Feira Nova do Maranhão,04073
521,10,Fernando Falcão,04081
522,10,Formosa da Serra Negra,04099
523,10,Fortaleza dos Nogueiras,04107
524,10,Fortuna,04206
525,10,Godofredo Viana,04305
526,10,Gonçalves Dias,04404
527,10,Governador Archer,04503
528,10,Governador Edison Lobão,04552
529,10,Governador Eugênio Barros,04602
530,10,Governador Luiz Rocha,04628
531,10,Governador Newton Bello,04651
532,10,Governador Nunes Freire,04677
533,10,Graça Aranha,04701
534,10,Grajaú,04800
535,10,Guimarães,04909
536,10,Humberto de Campos,05005
537,10,Icatu,05104
538,10,Igarapé do Meio,05153
539,10,Igarapé Grande,05203
540,10,Imperatriz,05302
541,10,Itaipava do Grajaú,05351
542,10,Itapecuru Mirim,05401
543,10,Itinga do Maranhão,05427
544,10,Jatobá,05450
545,10,Jenipapo dos Vieiras,05476
546,10,João Lisboa,05500
547,10,Joselândia,05609
548,10,Junco do Maranhão,05658
549,10,Lago da Pedra,05708
550,10,Lago do Junco,05807
551,10,Lago dos Rodrigues,05948
552,10,Lago Verde,05906
553,10,Lagoa do Mato,05922
554,10,Lagoa Grande do Maranhão,05963
555,10,Lajeado Novo,05989
556,10,Lima Campos,06003
557,10,Loreto,06102
558,10,Luís Domingues,06201
559,10,Magalhães de Almeida,06300
560,10,Maracaçumé,06326
561,10,Marajá do Sena,06359
562,10,Maranhãozinho,06375
563,10,Mata Roma,06409
564,10,Matinha,06508
565,10,Matões,06607
566,10,Matões do Norte,06631
567,10,Milagres do Maranhão,06672
568,10,Mirador,06706
